M,N,K
128,128,896
128,256,640
128,256,1536
128,256,2048
128,320,960
128,640,1024
128,640,2048
128,896,896
128,896,4864
128,960,960
128,960,2560
128,1024,640
128,1024,2304
128,1536,1536
128,1536,8960
128,2048,640
128,2048,2048
128,2048,2304
128,2048,5632
128,2048,8192
128,2304,2048
128,2304,9216
128,2560,960
128,2560,2560
128,2560,10240
128,4864,896
128,5632,2048
128,7680,2560
128,8192,2048
128,8960,1536
128,9216,2304
128,10240,2560
128,32000,2048
128,32768,2560
128,49152,960
128,49152,2048
128,50272,2048
128,100352,2048
128,151936,896
128,151936,1536
128,256000,2304
128,262144,640
256,128,896
256,256,640
256,256,1536
256,256,2048
256,320,960
256,640,1024
256,640,2048
256,896,896
256,896,4864
256,960,960
256,960,2560
256,1024,640
256,1024,2304
256,1536,1536
256,1536,8960
256,2048,640
256,2048,2048
256,2048,2304
256,2048,5632
256,2048,8192
256,2304,2048
256,2304,9216
256,2560,960
256,2560,2560
256,2560,10240
256,4864,896
256,5632,2048
256,7680,2560
256,8192,2048
256,8960,1536
256,9216,2304
256,10240,2560
256,32000,2048
256,32768,2560
256,49152,960
256,49152,2048
256,50272,2048
256,100352,2048
256,151936,896
256,151936,1536
256,256000,2304
256,262144,640
512,128,896
512,256,640
512,256,1536
512,256,2048
512,320,960
512,640,1024
512,640,2048
512,896,896
512,896,4864
512,960,960
512,960,2560
512,1024,640
512,1024,2304
512,1536,1536
512,1536,8960
512,2048,640
512,2048,2048
512,2048,2304
512,2048,5632
512,2048,8192
512,2304,2048
512,2304,9216
512,2560,960
512,2560,2560
512,2560,10240
512,4864,896
512,5632,2048
512,7680,2560
512,8192,2048
512,8960,1536
512,9216,2304
512,10240,2560
512,32000,2048
512,32768,2560
512,49152,960
512,49152,2048
512,50272,2048
512,100352,2048
512,151936,896
512,151936,1536
512,256000,2304
512,262144,640
1024,128,896
1024,256,640
1024,256,1536
1024,256,2048
1024,320,960
1024,640,1024
1024,640,2048
1024,896,896
1024,896,4864
1024,960,960
1024,960,2560
1024,1024,640
1024,1024,2304
1024,1536,1536
1024,1536,8960
1024,2048,640
1024,2048,2048
1024,2048,2304
1024,2048,5632
1024,2048,8192
1024,2304,2048
1024,2304,9216
1024,2560,960
1024,2560,2560
1024,2560,10240
1024,4864,896
1024,5632,2048
1024,7680,2560
1024,8192,2048
1024,8960,1536
1024,9216,2304
1024,10240,2560
1024,32000,2048
1024,32768,2560
1024,49152,960
1024,49152,2048
1024,50272,2048
1024,100352,2048
1024,151936,896
1024,151936,1536
1024,256000,2304
1024,262144,640
2048,128,896
2048,256,640
2048,256,1536
2048,256,2048
2048,320,960
2048,640,1024
2048,640,2048
2048,896,896
2048,896,4864
2048,960,960
2048,960,2560
2048,1024,640
2048,1024,2304
2048,1536,1536
2048,1536,8960
2048,2048,640
2048,2048,2048
2048,2048,2304
2048,2048,5632
2048,2048,8192
2048,2304,2048
2048,2304,9216
2048,2560,960
2048,2560,2560
2048,2560,10240
2048,4864,896
2048,5632,2048
2048,7680,2560
2048,8192,2048
2048,8960,1536
2048,9216,2304
2048,10240,2560
2048,32000,2048
2048,32768,2560
2048,49152,960
2048,49152,2048
2048,50272,2048
2048,100352,2048
2048,151936,896
2048,151936,1536
2048,256000,2304
2048,262144,640
